osmid,y,x,street_count,highway,ref,geometry
286632606,32.2748019,34.8405562,3,,,POINT (34.8405562 32.2748019)
288552432,32.2834252,34.845291,3,traffic_signals,,POINT (34.845291 32.2834252)
293623810,32.2747445,34.840754,3,,,POINT (34.840754 32.2747445)
293623813,32.2749325,34.8406872,3,,,POINT (34.8406872 32.2749325)
297034569,32.2837976,34.8452462,4,traffic_signals,,POINT (34.8452462 32.2837976)
297039806,32.2819905,34.8501598,4,,,POINT (34.8501598 32.2819905)
297039809,32.2828339,34.8494641,4,,,POINT (34.8494641 32.2828339)
297043427,32.2812798,34.8508301,3,,,POINT (34.8508301 32.2812798)
297043439,32.2808936,34.8515192,3,,,POINT (34.8515192 32.2808936)
297855860,32.2692416,34.838462,1,,,POINT (34.838462 32.2692416)
297855865,32.2723179,34.8381174,3,,,POINT (34.8381174 32.2723179)
297855969,32.2820558,34.8464152,4,traffic_signals,,POINT (34.8464152 32.2820558)
297855975,32.2837258,34.8450642,4,traffic_signals,,POINT (34.8450642 32.2837258)
298068638,32.2744869,34.848643,3,,,POINT (34.848643 32.2744869)
298068640,32.2743346,34.8487667,3,,,POINT (34.8487667 32.2743346)
298068642,32.2743218,34.8485297,3,,,POINT (34.8485297 32.2743218)
298068682,32.2758906,34.8475811,3,,,POINT (34.8475811 32.2758906)
298068708,32.2744613,34.8485608,3,,,POINT (34.8485608 32.2744613)
298068720,32.276462,34.8486721,3,,,POINT (34.8486721 32.276462)
298068730,32.2759317,34.8476658,4,,,POINT (34.8476658 32.2759317)
298069010,32.2744425,34.8487497,3,,,POINT (34.8487497 32.2744425)
298069012,32.2742646,34.8486429,3,,,POINT (34.8486429 32.2742646)
298069192,32.2755376,34.8510633,3,,,POINT (34.8510633 32.2755376)
298069245,32.2748242,34.849559,4,,,POINT (34.849559 32.2748242)
298069280,32.275247,34.8504504,3,,,POINT (34.8504504 32.275247)
298069303,32.2757583,34.8501356,3,,,POINT (34.8501356 32.2757583)
298069308,32.2760502,34.8507157,3,,,POINT (34.8507157 32.2760502)
298069350,32.2756465,34.8509775,1,,,POINT (34.8509775 32.2756465)
298069356,32.2742314,34.8513465,4,,,POINT (34.8513465 32.2742314)
298069390,32.2747593,34.8508261,3,,,POINT (34.8508261 32.2747593)
